hazard,path,rp,rcp,epoch,gcm,key
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0001_5.tif,1,baseline,present,None,inuncoast_historical_wtsub_hist_rp0001_5
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0002_0.tif,2,baseline,present,None,inuncoast_historical_wtsub_hist_rp0002_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0005_0.tif,5,baseline,present,None,inuncoast_historical_wtsub_hist_rp0005_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0010_0.tif,10,baseline,present,None,inuncoast_historical_wtsub_hist_rp0010_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0025_0.tif,25,baseline,present,None,inuncoast_historical_wtsub_hist_rp0025_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0050_0.tif,50,baseline,present,None,inuncoast_historical_wtsub_hist_rp0050_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0100_0.tif,100,baseline,present,None,inuncoast_historical_wtsub_hist_rp0100_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0250_0.tif,250,baseline,present,None,inuncoast_historical_wtsub_hist_rp0250_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp0500_0.tif,500,baseline,present,None,inuncoast_historical_wtsub_hist_rp0500_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_hist_rp1000_0.tif,1000,baseline,present,None,inuncoast_historical_wtsub_hist_rp1000_0
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_2030_rp0001_5.tif,1,baseline,2030,None,inuncoast_historical_wtsub_2030_rp0001_5
coastal,/home/dusted/code/oxford/infra-risk-vis/tileserver/raster/data/aqueduct/inuncoast_historical_wtsub_2030_rp0002_0.tif,2,baseline,2030,None,inuncoast_historical_wtsub_2030_rp0002_0
