hazard,path,rp,rcp,epoch,gcm,key
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp0002_0.tif,2,baseline,2010,None,coastal__rp_2__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp0005_0.tif,5,baseline,2010,None,coastal__rp_5__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp0010_0.tif,10,baseline,2010,None,coastal__rp_10__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp0025_0.tif,25,baseline,2010,None,coastal__rp_25__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp0050_0.tif,50,baseline,2010,None,coastal__rp_50__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp0100_0.tif,100,baseline,2010,None,coastal__rp_100__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp0250_0.tif,250,baseline,2010,None,coastal__rp_250__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp0500_0.tif,500,baseline,2010,None,coastal__rp_500__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_historical_wtsub_hist_rp1000_0.tif,1000,baseline,2010,None,coastal__rp_1000__rcp_baseline__epoch_2010__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_rcp4p5_wtsub_2030_rp0002_0.tif,2,4.5,2030,None,coastal__rp_2__rcp_4x5__epoch_2030__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_rcp4p5_wtsub_2030_rp0005_0.tif,5,4.5,2030,None,coastal__rp_5__rcp_4x5__epoch_2030__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_rcp4p5_wtsub_2030_rp0010_0.tif,10,4.5,2030,None,coastal__rp_10__rcp_4x5__epoch_2030__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_rcp4p5_wtsub_2030_rp0025_0.tif,25,4.5,2030,None,coastal__rp_25__rcp_4x5__epoch_2030__gcm_None
coastal,input/hazard-aqueduct/caribbean/inuncoast_rcp4p5_wtsub_2030_rp0050_0.tif,50,4.5,2030,None,coastal__rp_50__rcp_4x5__epoch_2030__gcm_None
